review,label,split
"Overall, i found the acting disappointing. The cinematography was flat. The movie felt forgettable to me. This drama was boring. Save your money and skip this one.",0,train
"Honestly, the whole experience turned out to be amazing. This sequel felt heartwarming to me. Worth every minute of my time.",1,train
"In my opinion, i found the script clumsy. I found the dialogue terrible. The pacing turned out to be flat. The movie turned out to be boring. I nearly fell asleep halfway through.",0,train
"Overall, this film turned out to be masterful. The plot was beautiful. This drama was compelling. It kept me hooked from start to finish.",1,train
"In my opinion, this sequel felt fantastic to me. I found this film masterful. I found the director's work remarkable. A true masterpiece of storytelling.",1,train
This sequel was confusing. The cinematography felt dull to me. I found the acting painful to watch. The plot made absolutely no sense.,0,train
"To be fair, the script was lifeless. I found the performance dull. This picture felt clumsy to me. The cinematography was disappointing. I regret watching it.",0,train
The whole experience turned out to be beautiful. The director's work was incredible. Highly recommended for everyone.,1,train
"In my opinion, the acting felt incredible to me. I found this picture impressive. I found the dialogue inspiring. The story felt wonderful to me. Everyone in the theatre applauded.",1,train
The ending was lifeless. The director's work felt predictable to me. The pacing felt terrible to me. A complete waste of time and money.,0,train
"Honestly, the plot turned out to be lifeless. The screenplay felt tedious to me. It dragged on far too long.",0,train
"Overall, i found the cinematography shallow. I found the lead actor mediocre. The script turned out to be lifeless. This sequel turned out to be dull. Nothing about it felt original.",0,train
"To be fair, i found the cinematography remarkable. The director's work felt incredible to me. The whole experience was phenomenal. I would watch it again.",1,train
"Honestly, the acting was poorly written. I found this picture dreadful. A complete waste of time and money.",0,train
"To be fair, the dialogue was wonderful. The lead actor felt gripping to me. This film was superb. I was moved to tears.",1,train
"Honestly, i found this drama fantastic. The ending felt captivating to me. The whole experience felt impressive to me. The emotional depth was incredible.",1,train
"Honestly, this film felt boring to me. The script turned out to be forgettable. This sequel felt dull to me. This drama was shallow. I regret watching it.",0,train
"Honestly, i found the ending fantastic. I found the screenplay outstanding. This documentary felt compelling to me. This drama felt beautiful to me. It kept me hooked from start to finish.",1,train
"Honestly, the story was outstanding. The pacing turned out to be incredible. Everyone in the theatre applauded.",1,train
I found the soundtrack superb. The pacing was excellent. A true masterpiece of storytelling.,1,train
"Overall, i found the story flat. The performance felt clumsy to me. I found the ending underwhelming. I found the plot tedious. A complete waste of time and money.",0,train
"Overall, i found this documentary impressive. The screenplay turned out to be outstanding. The story was brilliant. The emotional depth was incredible.",1,train
"To be fair, i found the ending heartwarming. The movie was superb. This sequel turned out to be wonderful. This picture felt captivating to me. The emotional depth was incredible.",1,train
The performance felt delightful to me. The acting felt compelling to me. I was moved to tears.,1,test
"Honestly, the screenplay turned out to be outstanding. The ending felt amazing to me. This picture felt heartwarming to me. I found the script phenomenal. The emotional depth was incredible.",1,train
"Overall, the movie turned out to be badly acted. The lead actor was mediocre. I wouldn't recommend it to anyone.",0,train
"Honestly, the story turned out to be poorly written. This sequel turned out to be mediocre. I couldn't wait for it to end.",0,train
